occupation,age,years_experience,education_level,technical_skills,communication_skills,adaptability,industry_automation_level
Meteorologist,28,10,3,1.0,,9,3
Zoologist,62,6,1,,3.0,9,6
Sales Coordinator,56,36,3,,5.0,10,1
Journalist,33,18,2,8.0,8.0,9,3
Anthropologist,49,4,3,7.0,3.0,6,4
Audiologist,22,23,4,1.0,,7,2
Tax Accountant,45,6,1,,,7,6
Surgeon,57,35,4,,10.0,5,10
Event Planner,38,33,3,6.0,,3,4
Product Manager,58,7,2,9.0,7.0,2,10
Yoga Instructor,23,4,2,7.0,3.0,8,4
Neurologist,55,32,3,,6.0,6,4
Security Guard,25,30,3,,,7,10
Wedding Planner,39,32,4,10.0,,10,3
Optometrist,33,2,1,3.0,6.0,7,8
Geneticist,57,34,1,2.0,,5,3
Recruiter,57,2,3,9.0,2.0,4,1
Film Director,42,26,3,9.0,2.0,5,8
Economist,33,13,1,10.0,2.0,1,8
Translator,64,16,4,2.0,,1,7
Surgeon,60,2,2,,,1,7
Risk Manager,32,18,3,6.0,2.0,10,3
Actuary,46,15,4,4.0,,10,1
Investment Manager,52,17,4,9.0,4.0,6,6
Nutritionist,62,11,4,3.0,,7,4
Dentist,27,35,1,,3.0,7,5
Accountant,54,14,4,,,7,6
School Counselor,41,24,4,,,5,7
Cybersecurity Specialist,61,18,4,7.0,6.0,3,2
Art Teacher,63,10,1,,,1,5
School Counselor,37,32,2,,5.0,6,1
Pediatrician,47,25,2,1.0,7.0,3,2
Insurance Agent,45,22,3,3.0,9.0,10,6
Software Engineer,59,13,3,5.0,2.0,8,1
Landscape Architect,36,3,1,6.0,,3,7
Sales Associate,27,16,1,7.0,2.0,9,5
Anesthesiologist,26,15,4,,,9,4
Neurologist,58,16,2,9.0,,7,10
Poet,38,29,1,1.0,2.0,9,6
Massage Therapist,48,13,2,6.0,10.0,5,8
Carpenter,32,13,3,,8.0,2,1
Tax Accountant,60,39,1,3.0,1.0,10,6
Sales Manager,34,13,3,3.0,3.0,7,1
Real Estate Agent,26,15,2,,,7,10
Chef,36,6,4,7.0,1.0,5,6
Historian,30,23,2,,10.0,6,8
Chemist,44,2,2,,,5,5
Security Officer,57,8,3,,2.0,2,3
Quality Control Manager,27,28,4,,7.0,4,9
Photographer,45,22,4,,7.0,2,7
Sales Engineer,49,26,4,,,1,8
Recruiter,62,11,2,8.0,,6,4
Logistics Manager,32,19,4,2.0,,1,4
Lawyer,58,13,1,2.0,9.0,7,7
Museum Curator,45,34,2,,10.0,5,5
Acupuncturist,53,14,3,,,6,1
Recruiter,35,31,3,,5.0,1,4
HR Generalist,64,31,1,,5.0,8,7
Occupational Therapist,31,31,3,2.0,,7,9
Technical Writer,51,2,4,5.0,6.0,3,6
Art Teacher,47,33,3,5.0,,7,10
Paramedic,38,15,3,4.0,,3,4
Architect,38,33,2,,,5,2
Security Guard,54,13,4,,,8,8
Personal Assistant,32,19,1,9.0,2.0,4,8
Physicist,55,4,2,4.0,,3,3
Credit Analyst,33,25,4,10.0,2.0,6,2
Product Manager,58,33,1,8.0,8.0,10,6
Radiologist,32,23,1,5.0,2.0,6,4
Brand Manager,51,15,2,,9.0,3,9
Inventory Manager,23,34,3,5.0,8.0,6,6
Network Administrator,53,12,1,5.0,,6,7
Logistics Manager,42,19,4,,,3,2
Plumber,61,25,4,5.0,7.0,10,3
Orthodontist,52,17,2,7.0,9.0,8,7
Sales Representative,44,2,4,5.0,,7,4
Biologist,44,2,2,5.0,,9,9
Statistician,59,38,2,,5.0,4,10
Sales Coordinator,41,5,3,,,3,5
Speech Therapist,31,4,4,8.0,4.0,9,7
HR Generalist,38,39,2,,9.0,9,9
Radio Host,40,16,3,1.0,3.0,10,10
Editor,51,4,1,,10.0,5,2
Physicist,41,21,2,6.0,8.0,7,3
Data Analyst,46,10,4,,,4,6
Event Planner,61,31,4,,6.0,3,8
Investment Manager,42,22,2,,5.0,3,10
Acupuncturist,45,23,1,,1.0,10,8
Mathematician,63,35,2,10.0,,5,3
Meteorologist,44,25,2,,7.0,10,1
Real Estate Agent,32,4,1,4.0,,4,6
Credit Analyst,61,20,3,8.0,,10,7
Software Engineer,35,7,2,3.0,4.0,2,10
Librarian,44,24,2,,,9,2
Cardiologist,60,3,4,,10.0,2,3
Dermatologist,50,17,2,10.0,,5,9
Veterinarian,63,33,1,1.0,,3,7
Maintenance Worker,64,5,2,3.0,,10,3
Training Coordinator,60,24,2,1.0,1.0,6,5
Database Administrator,63,21,4,1.0,5.0,4,5
