occupation,age,years_experience,education_level,technical_skills,communication_skills,adaptability,industry_automation_level
Meteorologist,28.0,10.0,3.0,1.0,5.310344827586207,9.0,3.0
Zoologist,62.0,6.0,1.0,5.266666666666667,3.0,9.0,6.0
Sales Coordinator,56.0,36.0,3.0,5.266666666666667,5.0,10.0,1.0
Journalist,33.0,18.0,2.0,8.0,8.0,9.0,3.0
Anthropologist,49.0,4.0,3.0,7.0,3.0,6.0,4.0
Audiologist,22.0,23.0,4.0,1.0,5.310344827586207,7.0,2.0
Tax Accountant,45.0,6.0,1.0,5.266666666666667,5.310344827586207,7.0,6.0
Surgeon,57.0,35.0,4.0,5.266666666666667,10.0,5.0,10.0
Event Planner,38.0,33.0,3.0,6.0,5.310344827586207,3.0,4.0
Product Manager,58.0,7.0,2.0,9.0,7.0,2.0,10.0
Yoga Instructor,23.0,4.0,2.0,7.0,3.0,8.0,4.0
Neurologist,55.0,32.0,3.0,5.266666666666667,6.0,6.0,4.0
Security Guard,25.0,30.0,3.0,5.266666666666667,5.310344827586207,7.0,10.0
Wedding Planner,39.0,32.0,4.0,10.0,5.310344827586207,10.0,3.0
Optometrist,33.0,2.0,1.0,3.0,6.0,7.0,8.0
Geneticist,57.0,34.0,1.0,2.0,5.310344827586207,5.0,3.0
Recruiter,57.0,2.0,3.0,9.0,2.0,4.0,1.0
Film Director,42.0,26.0,3.0,9.0,2.0,5.0,8.0
Economist,33.0,13.0,1.0,10.0,2.0,1.0,8.0
Translator,64.0,16.0,4.0,2.0,5.310344827586207,1.0,7.0
Surgeon,60.0,2.0,2.0,5.266666666666667,5.310344827586207,1.0,7.0
Risk Manager,32.0,18.0,3.0,6.0,2.0,10.0,3.0
Actuary,46.0,15.0,4.0,4.0,5.310344827586207,10.0,1.0
Investment Manager,52.0,17.0,4.0,9.0,4.0,6.0,6.0
Nutritionist,62.0,11.0,4.0,3.0,5.310344827586207,7.0,4.0
Dentist,27.0,35.0,1.0,5.266666666666667,3.0,7.0,5.0
Accountant,54.0,14.0,4.0,5.266666666666667,5.310344827586207,7.0,6.0
School Counselor,41.0,24.0,4.0,5.266666666666667,5.310344827586207,5.0,7.0
Cybersecurity Specialist,61.0,18.0,4.0,7.0,6.0,3.0,2.0
Art Teacher,63.0,10.0,1.0,5.266666666666667,5.310344827586207,1.0,5.0
School Counselor,37.0,32.0,2.0,5.266666666666667,5.0,6.0,1.0
Pediatrician,47.0,25.0,2.0,1.0,7.0,3.0,2.0
Insurance Agent,45.0,22.0,3.0,3.0,9.0,10.0,6.0
Software Engineer,59.0,13.0,3.0,5.0,2.0,8.0,1.0
Landscape Architect,36.0,3.0,1.0,6.0,5.310344827586207,3.0,7.0
Sales Associate,27.0,16.0,1.0,7.0,2.0,9.0,5.0
Anesthesiologist,26.0,15.0,4.0,5.266666666666667,5.310344827586207,9.0,4.0
Neurologist,58.0,16.0,2.0,9.0,5.310344827586207,7.0,10.0
Poet,38.0,29.0,1.0,1.0,2.0,9.0,6.0
Massage Therapist,48.0,13.0,2.0,6.0,10.0,5.0,8.0
Carpenter,32.0,13.0,3.0,5.266666666666667,8.0,2.0,1.0
Tax Accountant,60.0,39.0,1.0,3.0,1.0,10.0,6.0
Sales Manager,34.0,13.0,3.0,3.0,3.0,7.0,1.0
Real Estate Agent,26.0,15.0,2.0,5.266666666666667,5.310344827586207,7.0,10.0
Chef,36.0,6.0,4.0,7.0,1.0,5.0,6.0
Historian,30.0,23.0,2.0,5.266666666666667,10.0,6.0,8.0
Chemist,44.0,2.0,2.0,5.266666666666667,5.310344827586207,5.0,5.0
Security Officer,57.0,8.0,3.0,5.266666666666667,2.0,2.0,3.0
Quality Control Manager,27.0,28.0,4.0,5.266666666666667,7.0,4.0,9.0
Photographer,45.0,22.0,4.0,5.266666666666667,7.0,2.0,7.0
Sales Engineer,49.0,26.0,4.0,5.266666666666667,5.310344827586207,1.0,8.0
Recruiter,62.0,11.0,2.0,8.0,5.310344827586207,6.0,4.0
Logistics Manager,32.0,19.0,4.0,2.0,5.310344827586207,1.0,4.0
Lawyer,58.0,13.0,1.0,2.0,9.0,7.0,7.0
Museum Curator,45.0,34.0,2.0,5.266666666666667,10.0,5.0,5.0
Acupuncturist,53.0,14.0,3.0,5.266666666666667,5.310344827586207,6.0,1.0
Recruiter,35.0,31.0,3.0,5.266666666666667,5.0,1.0,4.0
HR Generalist,64.0,31.0,1.0,5.266666666666667,5.0,8.0,7.0
Occupational Therapist,31.0,31.0,3.0,2.0,5.310344827586207,7.0,9.0
Technical Writer,51.0,2.0,4.0,5.0,6.0,3.0,6.0
Art Teacher,47.0,33.0,3.0,5.0,5.310344827586207,7.0,10.0
Paramedic,38.0,15.0,3.0,4.0,5.310344827586207,3.0,4.0
Architect,38.0,33.0,2.0,5.266666666666667,5.310344827586207,5.0,2.0
Security Guard,54.0,13.0,4.0,5.266666666666667,5.310344827586207,8.0,8.0
Personal Assistant,32.0,19.0,1.0,9.0,2.0,4.0,8.0
Physicist,55.0,4.0,2.0,4.0,5.310344827586207,3.0,3.0
Credit Analyst,33.0,25.0,4.0,10.0,2.0,6.0,2.0
Product Manager,58.0,33.0,1.0,8.0,8.0,10.0,6.0
Radiologist,32.0,23.0,1.0,5.0,2.0,6.0,4.0
Brand Manager,51.0,15.0,2.0,5.266666666666667,9.0,3.0,9.0
Inventory Manager,23.0,34.0,3.0,5.0,8.0,6.0,6.0
Network Administrator,53.0,12.0,1.0,5.0,5.310344827586207,6.0,7.0
Logistics Manager,42.0,19.0,4.0,5.266666666666667,5.310344827586207,3.0,2.0
Plumber,61.0,25.0,4.0,5.0,7.0,10.0,3.0
Orthodontist,52.0,17.0,2.0,7.0,9.0,8.0,7.0
Sales Representative,44.0,2.0,4.0,5.0,5.310344827586207,7.0,4.0
Biologist,44.0,2.0,2.0,5.0,5.310344827586207,9.0,9.0
Statistician,59.0,38.0,2.0,5.266666666666667,5.0,4.0,10.0
Sales Coordinator,41.0,5.0,3.0,5.266666666666667,5.310344827586207,3.0,5.0
Speech Therapist,31.0,4.0,4.0,8.0,4.0,9.0,7.0
HR Generalist,38.0,39.0,2.0,5.266666666666667,9.0,9.0,9.0
Radio Host,40.0,16.0,3.0,1.0,3.0,10.0,10.0
Editor,51.0,4.0,1.0,5.266666666666667,10.0,5.0,2.0
Physicist,41.0,21.0,2.0,6.0,8.0,7.0,3.0
Data Analyst,46.0,10.0,4.0,5.266666666666667,5.310344827586207,4.0,6.0
Event Planner,61.0,31.0,4.0,5.266666666666667,6.0,3.0,8.0
Investment Manager,42.0,22.0,2.0,5.266666666666667,5.0,3.0,10.0
Acupuncturist,45.0,23.0,1.0,5.266666666666667,1.0,10.0,8.0
Mathematician,63.0,35.0,2.0,10.0,5.310344827586207,5.0,3.0
Meteorologist,44.0,25.0,2.0,5.266666666666667,7.0,10.0,1.0
Real Estate Agent,32.0,4.0,1.0,4.0,5.310344827586207,4.0,6.0
Credit Analyst,61.0,20.0,3.0,8.0,5.310344827586207,10.0,7.0
Software Engineer,35.0,7.0,2.0,3.0,4.0,2.0,10.0
Librarian,44.0,24.0,2.0,5.266666666666667,5.310344827586207,9.0,2.0
Cardiologist,60.0,3.0,4.0,5.266666666666667,10.0,2.0,3.0
Dermatologist,50.0,17.0,2.0,10.0,5.310344827586207,5.0,9.0
Veterinarian,63.0,33.0,1.0,1.0,5.310344827586207,3.0,7.0
Maintenance Worker,64.0,5.0,2.0,3.0,5.310344827586207,10.0,3.0
Training Coordinator,60.0,24.0,2.0,1.0,1.0,6.0,5.0
Database Administrator,63.0,21.0,4.0,1.0,5.0,4.0,5.0
