age,years_experience,education_level,technical_skills,communication_skills,adaptability,industry_automation_level,job_threat_level
60,13,2,4,7,4,6,Medium
50,16,1,7,5,1,6,Medium
36,35,4,3,1,2,6,Medium
64,39,3,6,1,1,3,Medium
29,3,3,2,3,5,6,High
42,1,2,10,2,5,8,High
60,5,4,9,5,7,2,Low
40,3,1,5,10,9,5,Medium
44,28,3,6,6,9,1,Medium
32,17,4,4,7,3,1,Low
32,25,4,10,4,3,5,Medium
45,33,2,7,7,3,3,Low
57,9,3,9,8,4,4,Low
61,35,3,7,1,8,3,Low
45,13,1,1,6,6,1,Medium
24,30,3,1,8,8,1,Low
43,14,1,9,5,1,5,Medium
23,7,3,9,4,8,6,Medium
45,13,2,4,2,4,3,Medium
51,22,3,9,6,1,9,Medium
59,39,1,3,6,8,5,Medium
23,20,1,7,1,4,8,High
42,15,2,6,9,6,1,Low
54,17,3,8,,8,5,Medium
33,23,3,9,,4,3,Medium
43,25,2,5,,3,1,Medium
46,24,3,1,4,9,4,Medium
48,28,3,3,3,3,5,Medium
63,14,1,,10,9,7,Medium
49,0,3,8,3,2,1,Medium
37,24,3,6,3,2,3,Medium
36,6,2,8,4,2,2,Medium
24,8,2,9,7,6,9,Medium
58,23,4,4,4,3,10,Medium
28,0,1,1,,9,6,Medium
42,7,3,1,1,4,10,High
30,23,3,10,8,1,3,Low
60,10,4,4,7,4,8,Medium
39,16,3,,2,1,8,Medium
25,7,1,2,8,5,2,Medium
46,34,4,3,1,4,6,Medium
35,34,1,,9,8,7,Low
30,32,4,,9,8,2,Low
47,4,4,1,2,7,10,High
23,38,2,8,7,3,2,Low
41,27,1,1,10,1,10,High
49,6,3,1,3,1,1,Medium
28,8,3,,7,3,8,Low
29,7,1,2,10,6,1,Medium
56,11,3,6,,7,9,Low
